INV_ID,INP_TYP,ART_ID,VPK_ID,LGP_NR,INP_SOLL,INP_IST,INP_ESP,INP_EKP,INP_VSP,INP_VKP,INP_INFO,INP_DELART,INP_STATUS,INP_WEK,INP_UML,INP_KST,INP_IST0,INP_IST1,INP_IST2,INP_IST3,INP_IST4,INP_IST5,INP_IST6,INP_IST7,INP_IST8,INP_IST9,INP_EP1,INP_EP2,INP_CHANGED,REPLICATED,INP_IST10,SPA_NR,WGR_NR
1,4,188,3,,0,20,0.000,0.000,0,0,,1,0,,,,20,0,0,0,0,0,0,0,0,0,0,0,1,,,104,407
1,4,188,3,,0,20,0.000,0.000,0,0,,1,0,,,,20,0,0,0,0,0,0,0,0,0,0,0,1,,,104,407
1,4,115,3,,0,20,0.000,0.000,0,0,,1,0,,,,20,0,0,0,0,0,0,0,0,0,0,0,1,,,104,407
1,4,115,3,,0,20,0.000,0.000,0,0,,1,0,,,,20,0,0,0,0,0,0,0,0,0,0,0,1,,,104,407
1,4,207,3,,0,4,0.000,0.000,0,0,,1,0,,,,4,0,0,0,0,0,0,0,0,0,0,0,1,,,104,407
1,4,207,3,,0,4,0.000,0.000,0,0,,1,0,,,,4,0,0,0,0,0,0,0,0,0,0,0,1,,,104,407
1,4,206,3,,0,5,0.000,0.000,0,0,,1,0,,,,5,0,0,0,0,0,0,0,0,0,0,0,1,,,104,407
1,4,206,3,,0,5,0.000,0.000,0,0,,1,0,,,,5,0,0,0,0,0,0,0,0,0,0,0,1,,,104,407
1,4,190,3,,0,9,0.000,0.000,0,0,,1,0,,,,9,0,0,0,0,0,0,0,0,0,0,0,1,,,90,459
1,4,190,3,,0,9,0.000,0.000,0,0,,1,0,,,,9,0,0,0,0,0,0,0,0,0,0,0,1,,,90,459
1,4,192,3,,0,8,0.000,0.000,0,0,,1,0,,,,8,0,0,0,0,0,0,0,0,0,0,0,1,,,90,459
1,4,192,3,,0,8,0.000,0.000,0,0,,1,0,,,,8,0,0,0,0,0,0,0,0,0,0,0,1,,,90,459
1,4,853,3,,0,22,0.000,0.000,0,0,,1,0,,,,22,0,0,0,0,0,0,0,0,0,0,0,1,,,90,409
1,4,853,3,,0,22,0.000,0.000,0,0,,1,0,,,,22,0,0,0,0,0,0,0,0,0,0,0,1,,,90,409
1,4,852,3,,0,27,0.000,0.000,0,0,,1,0,,,,27,0,0,0,0,0,0,0,0,0,0,0,1,,,90,409
1,4,852,3,,0,27,0.000,0.000,0,0,,1,0,,,,27,0,0,0,0,0,0,0,0,0,0,0,1,,,90,409
1,4,191,3,,0,8,0.000,0.000,0,0,,1,0,,,,8,0,0,0,0,0,0,0,0,0,0,0,1,,,90,459
1,4,191,3,,0,8,0.000,0.000,0,0,,1,0,,,,8,0,0,0,0,0,0,0,0,0,0,0,1,,,90,459
1,4,878,3,,0,2,0.000,0.000,0,0,,1,0,,,,2,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,878,3,,0,2,0.000,0.000,0,0,,1,0,,,,2,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1027,3,,0,50,0.000,0.000,0,0,,1,0,,,,50,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
